"priority_rank","priority_tier","company_or_person","region","country","city","type_or_size","specialty","why_promising","website","contact_email","instagram","contact_confidence","research_source_url","email_subject","email_body"
"61","B","2MB Studio","Europe","Germany","Berlin","Studio (10–20)","High-end architectural visualization, animation and digital experiences","your in-house team delivers high-end renders, animation and web experiences, and I would be interested in providing extra capacity on the 3D production side when schedules tighten","https://www.2mb.studio/","info@2mb.studio","","High","https://www.2mb.studio/get-in-touch/","3D visualization support for 2MB Studio","Hi 2MB Studio team,

I’m [name], a 3D artist focused on architectural visualization, especially exterior/interior imagery and 3ds Max-based workflows. I’m reaching out because your in-house team delivers high-end renders, animation and web experiences, and I would be interested in providing extra capacity on the 3D production side when schedules tighten.

If you ever need extra capacity, I can take on a self-contained part of a high-end architectural visualization, animation and digital experiences project and work to your references, naming conventions and feedback process.

I’d be happy to begin with one small trial or overflow assignment so you can assess my speed, scene organization, responsiveness to feedback and final visual quality before considering anything larger. You can see my work at [portfolio]. If there is a suitable task, I’d be grateful for the chance to try it.

Best regards,
[name]"
"62","B","3D VIZUAL","Europe","Denmark","Copenhagen","Small studio (1–10)","3D visualization for architecture, real estate, interiors and products","your small Copenhagen practice spans architecture, real-estate marketing, interiors and product visualization and invites résumé submissions","https://3d-vizual.dk/","mail@3d-vizual.dk","","High","https://3d-vizual.dk/","Portfolio + a small trial task for 3D VIZUAL","Hi 3D VIZUAL team,

My name is [name]. I work in architectural visualization with a focus on exterior and interior scenes and 3ds Max production. I wanted to contact you specifically because your small Copenhagen practice spans architecture, real-estate marketing, interiors and product visualization and invites résumé submissions.

My goal is to become the kind of external artist you can delegate a specific scene or image to when your internal team is busy, while keeping your creative direction and workflow intact.

If it is useful, I’d be happy to complete a small, clearly scoped test assignment; I’m also open to an unpaid test if that is your normal evaluation process. My portfolio is here: [portfolio]. If my work looks relevant, please send me a task or tell me what you would want to test first.

Thanks for taking a look,
[name]"
"63","B","ArcMedia","Europe","UK","London / Poulton","Small studio (1–10)","Architectural CGI, interiors, superyachts and virtual tours","your work ranges from architecture and interiors to virtual tours, so I would be interested in taking on self-contained modeling or rendering tasks when project volume spikes","https://www.arc-media.co.uk/","info@arc-media.co.uk","","High","https://www.arc-media.co.uk/","Freelance archviz support — ArcMedia","Hi ArcMedia team,

I’m [name], and I’m looking to contribute to strong architectural visualization teams on a project or trial basis. ArcMedia stood out to me because your work ranges from architecture and interiors to virtual tours, so I would be interested in taking on self-contained modeling or rendering tasks when project volume spikes.

I’d be glad to help with a clearly defined part of your architectural cgi, interiors, superyachts and virtual tours pipeline—modeling, scene setup, materials, lighting, camera work, rendering or revisions—depending on what is most useful to you.

I’d be happy to complete a small trial task first so there is no need to make a hiring decision upfront. My portfolio is [portfolio]. If you have a scene, image or production task that could be delegated, I’d be glad to take it on and work to your feedback.

Thanks — I’d be glad to hear what would be most useful to test.
[name]"
"64","B","Arqui9","Europe","UK","Reigate","Studio (10–20)","Architectural visualization, film, animation and CGI","your combination of architecture, film and CGI is highly aligned with the kind of visual production I want to support, particularly exterior/interior scene work","https://www.arqui9.com/","info@arqui9.com","","High","https://www.arqui9.com/","Could I help with overflow 3D work at Arqui9?","Hi Arqui9 team,

I’m [name], a 3D visualization artist working with architectural exteriors, interiors and 3ds Max-based scenes. Rather than sending a generic application, I’m writing because your combination of architecture, film and CGI is highly aligned with the kind of visual production I want to support, particularly exterior/interior scene work.

I’m not asking you to commit to a full role. I’d prefer to prove fit through a small real production task related to architectural visualization, film, animation and cgi, with clear inputs, deadline and review criteria.

I’d be happy to begin with one small trial or overflow assignment so you can assess my speed, scene organization, responsiveness to feedback and final visual quality before considering anything larger. You can see my work at [portfolio]. If there is a suitable task, I’d be grateful for the chance to try it.

Thank you for your time,
[name]"
"65","B","Archviz Mallorca","Europe","Spain","Palma de Mallorca","Small studio (1–10)","Architectural CGI, animation, photography and visual communication","your small Palma studio combines architecture, photography and 3D, which makes a flexible artist who can handle a bounded visualization task a potentially useful resource","https://www.archvizmallorca.com/","archvizmallorca@gmail.com","@archvizmallorca","High","https://www.archvizmallorca.com/","Architectural visualization collaboration with Archviz Mallorca","Hi Archviz Mallorca team,

My name is [name], and I’m building relationships with studios and independent artists whose work I could support when deadlines or project volume increase. I chose to write to Archviz Mallorca because your small Palma studio combines architecture, photography and 3D, which makes a flexible artist who can handle a bounded visualization task a potentially useful resource.

I can start with a narrow assignment—such as preparing an exterior/interior scene, matching a reference, refining materials/lighting, or taking a render through revisions—so you can judge quality and reliability directly.

I’d be happy to complete a small trial task first so there is no need to make a hiring decision upfront. My portfolio is [portfolio]. If you have a scene, image or production task that could be delegated, I’d be glad to take it on and work to your feedback.

Best,
[name]"
"66","B","Aron Lorincz Ateliers","Europe","Hungary","Budapest","Small studio (1–10)","Architectural imagery, film and competition visualization","your boutique atelier produces a high volume of architectural imagery while retaining an authored visual style, so dependable production support could be useful behind the scenes","https://aronlorincz.com/","office@aronlorincz.com","@aron_lorincz_ateliers","High","https://aronlorincz.com/","3ds Max / archviz production support for Aron Lorincz Ateliers","Hi Aron Lorincz Ateliers team,

I’m [name], a 3D artist focused on architectural visualization, especially exterior/interior imagery and 3ds Max-based workflows. I’m reaching out because your boutique atelier produces a high volume of architectural imagery while retaining an authored visual style, so dependable production support could be useful behind the scenes.

If you ever need extra capacity, I can take on a self-contained part of a architectural imagery, film and competition visualization project and work to your references, naming conventions and feedback process.

I’d be happy to complete a small trial task first so there is no need to make a hiring decision upfront. My portfolio is [portfolio]. If you have a scene, image or production task that could be delegated, I’d be glad to take it on and work to your feedback.

Best regards,
[name]"
"67","B","AIVA Images","Europe","Portugal","Lisbon","Small studio (1–10)","Atmospheric CGI of unbuilt architecture","your founder-led Lisbon practice focuses on atmospheric representations of unbuilt space, and I would be interested in supporting scene production while respecting that visual direction","https://www.aivaimages.com/","info@aivaimages.com","@aiva_images","High","https://www.aivaimages.com/87b4d62d54-content","3D visualization support for AIVA Images","Hi AIVA Images team,

My name is [name]. I work in architectural visualization with a focus on exterior and interior scenes and 3ds Max production. I wanted to contact you specifically because your founder-led Lisbon practice focuses on atmospheric representations of unbuilt space, and I would be interested in supporting scene production while respecting that visual direction.

My goal is to become the kind of external artist you can delegate a specific scene or image to when your internal team is busy, while keeping your creative direction and workflow intact.

I’d be happy to complete a small trial task first so there is no need to make a hiring decision upfront. My portfolio is [portfolio]. If you have a scene, image or production task that could be delegated, I’d be glad to take it on and work to your feedback.

Thanks for taking a look,
[name]"
"68","B","Andreu Cabot","Europe","Spain","Barcelona","Independent/founder-led studio","Architectural infographics, interiors/exteriors and 360 visualization","your work spans interior and exterior CGI and 360 imagery, and your background with 3ds Max makes my proposed support especially easy to evaluate technically","https://www.andreucabot.com/","info@andreucabot.com","","High","https://www.andreucabot.com/en/contact/","Portfolio + a small trial task for Andreu Cabot","Hi Andreu,

I’m [name], and I’m looking to contribute to strong architectural visualization teams on a project or trial basis. Andreu Cabot stood out to me because your work spans interior and exterior CGI and 360 imagery, and your background with 3ds Max makes my proposed support especially easy to evaluate technically.

I’d be glad to help with a clearly defined part of your architectural infographics, interiors/exteriors and 360 visualization pipeline—modeling, scene setup, materials, lighting, camera work, rendering or revisions—depending on what is most useful to you.

If you ever have overflow work you would rather delegate than turn down or rush, I’d be happy to do a small test first so you can judge whether my files, communication and visual quality fit your workflow. Portfolio: [portfolio]. Even a single bounded scene or image would be enough to start.

Thanks — I’d be glad to hear what would be most useful to test.
[name]"
"69","B","Ángel Pérez Studio","Europe","Spain","Barcelona / Valencia","Independent/founder-led studio","Architecture, interior and product visualization","your independent practice works across architecture, interiors and products with a strong emphasis on lighting, so I am approaching you as potential overflow support rather than with a generic job application","https://angelperez.studio/","info@angelperez.studio","","High","https://angelperez.studio/about","Freelance archviz support — Ángel Pérez Studio","Hi Ángel,

I’m [name], a 3D visualization artist working with architectural exteriors, interiors and 3ds Max-based scenes. Rather than sending a generic application, I’m writing because your independent practice works across architecture, interiors and products with a strong emphasis on lighting, so I am approaching you as potential overflow support rather than with a generic job application.

I’m not asking you to commit to a full role. I’d prefer to prove fit through a small real production task related to architecture, interior and product visualization, with clear inputs, deadline and review criteria.

If you ever have overflow work you would rather delegate than turn down or rush, I’d be happy to do a small test first so you can judge whether my files, communication and visual quality fit your workflow. Portfolio: [portfolio]. Even a single bounded scene or image would be enough to start.

Thank you for your time,
[name]"
"70","B","AsymmetricA","Europe","UK","London","Small studio (1–10)","Architectural rendering, film, animation, 360/VR and cinemagraphs","your small studio produces stills, films, 360/VR and cinemagraphs, so there is a clear opportunity to delegate self-contained 3D tasks within a larger delivery","https://asymmetrica.co.uk/","enquiries@asymmetrica.co.uk","","High","https://asymmetrica.co.uk/","Could I help with overflow 3D work at AsymmetricA?","Hi AsymmetricA team,

My name is [name], and I’m building relationships with studios and independent artists whose work I could support when deadlines or project volume increase. I chose to write to AsymmetricA because your small studio produces stills, films, 360/VR and cinemagraphs, so there is a clear opportunity to delegate self-contained 3D tasks within a larger delivery.

I can start with a narrow assignment—such as preparing an exterior/interior scene, matching a reference, refining materials/lighting, or taking a render through revisions—so you can judge quality and reliability directly.

I’d be happy to complete a small trial task first so there is no need to make a hiring decision upfront. My portfolio is [portfolio]. If you have a scene, image or production task that could be delegated, I’d be glad to take it on and work to your feedback.

Best,
[name]"
"71","B","Plasteline Studio","Europe","Spain","Barcelona","Small studio (2–10)","Architectural exterior/aerial visualization and animation","your small team works with 3ds Max and Corona/Twinmotion across exterior, aerial and animation work, giving us a strong workflow overlap","https://www.plasteline-studio.com/","info.plasteline.studio@gmail.com","","High","https://www.plasteline-studio.com/","Architectural visualization collaboration with Plasteline Studio","Hi Plasteline Studio team,

I’m [name], a 3D artist focused on architectural visualization, especially exterior/interior imagery and 3ds Max-based workflows. I’m reaching out because your small team works with 3ds Max and Corona/Twinmotion across exterior, aerial and animation work, giving us a strong workflow overlap.

If you ever need extra capacity, I can take on a self-contained part of a architectural exterior/aerial visualization and animation project and work to your references, naming conventions and feedback process.

I’d be happy to complete a small trial task first so there is no need to make a hiring decision upfront. My portfolio is [portfolio]. If you have a scene, image or production task that could be delegated, I’d be glad to take it on and work to your feedback.

Best regards,
[name]"
"72","B","Collaba Visual","Europe","Ukraine / Netherlands","Kyiv / Amsterdam","Independent visualization practice","Architectural imagery and cinematic storytelling","your practice combines architecture with cinematic storytelling and works across Kyiv and Amsterdam, so remote project support seems compatible with how you already collaborate","https://collabavisual.com/","collabavisual@gmail.com","","High","https://collabavisual.com/","3ds Max / archviz production support for Collaba Visual","Hi Collaba Visual team,

My name is [name]. I work in architectural visualization with a focus on exterior and interior scenes and 3ds Max production. I wanted to contact you specifically because your practice combines architecture with cinematic storytelling and works across Kyiv and Amsterdam, so remote project support seems compatible with how you already collaborate.

My goal is to become the kind of external artist you can delegate a specific scene or image to when your internal team is busy, while keeping your creative direction and workflow intact.

I’d be happy to begin with one small trial or overflow assignment so you can assess my speed, scene organization, responsiveness to feedback and final visual quality before considering anything larger. You can see my work at [portfolio]. If there is a suitable task, I’d be grateful for the chance to try it.

Thanks for taking a look,
[name]"
"73","B","Studio Archviz","Europe","UK","Bournemouth","Small studio","Architectural CGI for developers, hospitality and interior projects","your studio serves developers and hospitality/interior projects, where repeatable scene production and fast revisions often create useful overflow tasks","https://studioarchviz.com/","studio@studioarchviz.com","","High","https://studioarchviz.com/","3D visualization support for Studio Archviz","Hi Studio Archviz team,

I’m [name], and I’m looking to contribute to strong architectural visualization teams on a project or trial basis. Studio Archviz stood out to me because your studio serves developers and hospitality/interior projects, where repeatable scene production and fast revisions often create useful overflow tasks.

I’d be glad to help with a clearly defined part of your architectural cgi for developers, hospitality and interior projects pipeline—modeling, scene setup, materials, lighting, camera work, rendering or revisions—depending on what is most useful to you.

I’d be happy to complete a small trial task first so there is no need to make a hiring decision upfront. My portfolio is [portfolio]. If you have a scene, image or production task that could be delegated, I’d be glad to take it on and work to your feedback.

Thanks — I’d be glad to hear what would be most useful to test.
[name]"
"74","B","Bronxes Studio","Europe","Greece","Athens","Small dedicated team","High-end architecture, interior and product visualization","your small dedicated team works across architecture, interiors and product visualization, so I would like to offer dependable support for modeling, look-dev or rendering when needed","https://www.bronxesstudio.com/","hello@bronxesstudio.com","","High","https://www.bronxesstudio.com/","Portfolio + a small trial task for Bronxes Studio","Hi Bronxes Studio team,

I’m [name], a 3D visualization artist working with architectural exteriors, interiors and 3ds Max-based scenes. Rather than sending a generic application, I’m writing because your small dedicated team works across architecture, interiors and product visualization, so I would like to offer dependable support for modeling, look-dev or rendering when needed.

I’m not asking you to commit to a full role. I’d prefer to prove fit through a small real production task related to high-end architecture, interior and product visualization, with clear inputs, deadline and review criteria.

I’d be happy to complete a small trial task first so there is no need to make a hiring decision upfront. My portfolio is [portfolio]. If you have a scene, image or production task that could be delegated, I’d be glad to take it on and work to your feedback.

Thank you for your time,
[name]"
"75","B","GAMMA Image","Europe","France","Paris / Vannes","Small visualization agency","Architectural 3D imagery and film","your studio was founded by architects and works on both still images and film, so I would be comfortable taking direction from an architectural brief and handling a defined 3D task","https://www.gamma-image.com/","contact@gamma-image.com","","High","https://www.gamma-image.com/contact","Freelance archviz support — GAMMA Image","Hi GAMMA Image team,

My name is [name], and I’m building relationships with studios and independent artists whose work I could support when deadlines or project volume increase. I chose to write to GAMMA Image because your studio was founded by architects and works on both still images and film, so I would be comfortable taking direction from an architectural brief and handling a defined 3D task.

I can start with a narrow assignment—such as preparing an exterior/interior scene, matching a reference, refining materials/lighting, or taking a render through revisions—so you can judge quality and reliability directly.

I’d be happy to complete a small trial task first so there is no need to make a hiring decision upfront. My portfolio is [portfolio]. If you have a scene, image or production task that could be delegated, I’d be glad to take it on and work to your feedback.

Best,
[name]"
"76","B","Galerie Blanche","Europe","France","Paris","Architectural visualization studio","Exterior/interior imagery, aerials, animation and competitions","your mix of competition imagery, exteriors, interiors and animation creates exactly the kind of variable workload where a trial project can show whether I fit your production standards","https://galerieblanche.fr/","job@galerieblanche.fr","","High","https://galerieblanche.fr/a-propos/","Could I help with overflow 3D work at Galerie Blanche?","Hi Galerie Blanche team,

I’m [name], a 3D artist focused on architectural visualization, especially exterior/interior imagery and 3ds Max-based workflows. I’m reaching out because your mix of competition imagery, exteriors, interiors and animation creates exactly the kind of variable workload where a trial project can show whether I fit your production standards.

If you ever need extra capacity, I can take on a self-contained part of a exterior/interior imagery, aerials, animation and competitions project and work to your references, naming conventions and feedback process.

If it is useful, I’d be happy to complete a small, clearly scoped test assignment; I’m also open to an unpaid test if that is your normal evaluation process. My portfolio is here: [portfolio]. If my work looks relevant, please send me a task or tell me what you would want to test first.

Best regards,
[name]"
"77","B","Gabriel Fabra Pérez","Europe","Spain","Valencia","Independent architect / visualizer","Architectural visualization and concept imagery","you work independently at the intersection of architecture and visualization, so I am reaching out in case you ever want to hand off modeling, scene preparation or rendering on a deadline","https://www.behance.net/gfabra1","gfabra1@gmail.com","","High","https://www.behance.net/gfabra1","Architectural visualization collaboration with Gabriel Fabra Pérez","Hi Gabriel,

My name is [name]. I work in architectural visualization with a focus on exterior and interior scenes and 3ds Max production. I wanted to contact you specifically because you work independently at the intersection of architecture and visualization, so I am reaching out in case you ever want to hand off modeling, scene preparation or rendering on a deadline.

My goal is to become the kind of external artist you can delegate a specific scene or image to when your internal team is busy, while keeping your creative direction and workflow intact.

If you ever have overflow work you would rather delegate than turn down or rush, I’d be happy to do a small test first so you can judge whether my files, communication and visual quality fit your workflow. Portfolio: [portfolio]. Even a single bounded scene or image would be enough to start.

Thanks for taking a look,
[name]"
"78","B","F10 Studios","Europe","UK","Brighton","Visualization studio","Architectural CGI, still/moving/interactive visual storytelling","your studio describes its work as visual storytelling across still, moving and interactive formats, and I would be interested in supporting the underlying architectural 3D production","https://f10studios.co.uk/","hello@f10studios.co.uk","","High","https://f10studios.co.uk/","3ds Max / archviz production support for F10 Studios","Hi F10 Studios team,

I’m [name], and I’m looking to contribute to strong architectural visualization teams on a project or trial basis. F10 Studios stood out to me because your studio describes its work as visual storytelling across still, moving and interactive formats, and I would be interested in supporting the underlying architectural 3D production.

I’d be glad to help with a clearly defined part of your architectural cgi, still/moving/interactive visual storytelling pipeline—modeling, scene setup, materials, lighting, camera work, rendering or revisions—depending on what is most useful to you.

I’d be happy to begin with one small trial or overflow assignment so you can assess my speed, scene organization, responsiveness to feedback and final visual quality before considering anything larger. You can see my work at [portfolio]. If there is a suitable task, I’d be grateful for the chance to try it.

Thanks — I’d be glad to hear what would be most useful to test.
[name]"
"79","B","HIDO","Europe","Italy","Italy","Small studio (1–10)","Visualization for architecture, products and real estate","your small practice serves architecture, product and real-estate clients, which makes a flexible artist useful when several image sets need to move in parallel","https://hidovisual.com/","hidovisual@gmail.com","","High","https://hidovisual.com/","3D visualization support for HIDO","Hi HIDO team,

I’m [name], a 3D visualization artist working with architectural exteriors, interiors and 3ds Max-based scenes. Rather than sending a generic application, I’m writing because your small practice serves architecture, product and real-estate clients, which makes a flexible artist useful when several image sets need to move in parallel.

I’m not asking you to commit to a full role. I’d prefer to prove fit through a small real production task related to visualization for architecture, products and real estate, with clear inputs, deadline and review criteria.

I’d be happy to complete a small trial task first so there is no need to make a hiring decision upfront. My portfolio is [portfolio]. If you have a scene, image or production task that could be delegated, I’d be glad to take it on and work to your feedback.

Thank you for your time,
[name]"
"80","B","évoque lab","Europe","Italy","Milan","Small visualization/design studio","Architectural stills, animation, VR and product visualization","your team combines architects and 3D designers across still images, animation, VR and products, and your public profiles direct job inquiries to the studio email","https://www.evoquelab.com/","info@evoquelab.com","","High","https://www.evoquelab.com/","Portfolio + a small trial task for évoque lab","Hi évoque lab team,

My name is [name], and I’m building relationships with studios and independent artists whose work I could support when deadlines or project volume increase. I chose to write to évoque lab because your team combines architects and 3D designers across still images, animation, VR and products, and your public profiles direct job inquiries to the studio email.

I can start with a narrow assignment—such as preparing an exterior/interior scene, matching a reference, refining materials/lighting, or taking a render through revisions—so you can judge quality and reliability directly.

If it is useful, I’d be happy to complete a small, clearly scoped test assignment; I’m also open to an unpaid test if that is your normal evaluation process. My portfolio is here: [portfolio]. If my work looks relevant, please send me a task or tell me what you would want to test first.

Best,
[name]"
"81","B","Honk Studio","Europe","Poland","Warsaw","Small visualization studio","3D visualization, architecture, animation, VR and web","your small Warsaw team works across architectural CGI, animation, VR and web, so I would be happy to prove myself first on a narrow production task","https://honk-studio.com/","contact@honk-studio.com","","High","https://honk-studio.com/","Freelance archviz support — Honk Studio","Hi Honk Studio team,

I’m [name], a 3D artist focused on architectural visualization, especially exterior/interior imagery and 3ds Max-based workflows. I’m reaching out because your small Warsaw team works across architectural CGI, animation, VR and web, so I would be happy to prove myself first on a narrow production task.

If you ever need extra capacity, I can take on a self-contained part of a 3d visualization, architecture, animation, vr and web project and work to your references, naming conventions and feedback process.

I’d be happy to complete a small trial task first so there is no need to make a hiring decision upfront. My portfolio is [portfolio]. If you have a scene, image or production task that could be delegated, I’d be glad to take it on and work to your feedback.

Best regards,
[name]"
"82","B","INCEPT Visuals","Europe","Bulgaria","Sofia","Small studio (1–10)","Architectural stills, animations, VR and product visualization","your service range includes photoreal and concept-driven architectural imagery plus animation and VR, so extra 3D production capacity could plug into several kinds of jobs","https://www.incept.bg/","office@inceptbg.com","","High","https://www.incept.bg/","Could I help with overflow 3D work at INCEPT Visuals?","Hi INCEPT team,

My name is [name]. I work in architectural visualization with a focus on exterior and interior scenes and 3ds Max production. I wanted to contact you specifically because your service range includes photoreal and concept-driven architectural imagery plus animation and VR, so extra 3D production capacity could plug into several kinds of jobs.

My goal is to become the kind of external artist you can delegate a specific scene or image to when your internal team is busy, while keeping your creative direction and workflow intact.

I’d be happy to complete a small trial task first so there is no need to make a hiring decision upfront. My portfolio is [portfolio]. If you have a scene, image or production task that could be delegated, I’d be glad to take it on and work to your feedback.

Thanks for taking a look,
[name]"
"83","B","JIGEN Interactive Studio","Europe","France","Paris","Small studio (1–10)","Architectural stills, animation, AR/VR and interactive applications","your independent Paris studio extends architectural visualization into AR/VR and applications, and I would be interested in contributing to the high-quality 3D assets those experiences depend on","https://www.jigen.fr/","info@jigen.fr","","High","https://www.jigen.fr/","Architectural visualization collaboration with JIGEN Interactive Studio","Hi JIGEN team,

I’m [name], and I’m looking to contribute to strong architectural visualization teams on a project or trial basis. JIGEN Interactive Studio stood out to me because your independent Paris studio extends architectural visualization into AR/VR and applications, and I would be interested in contributing to the high-quality 3D assets those experiences depend on.

I’d be glad to help with a clearly defined part of your architectural stills, animation, ar/vr and interactive applications pipeline—modeling, scene setup, materials, lighting, camera work, rendering or revisions—depending on what is most useful to you.

I’d be happy to begin with one small trial or overflow assignment so you can assess my speed, scene organization, responsiveness to feedback and final visual quality before considering anything larger. You can see my work at [portfolio]. If there is a suitable task, I’d be grateful for the chance to try it.

Thanks — I’d be glad to hear what would be most useful to test.
[name]"
"84","B","In Extenso Studio","Europe","France","Bordeaux","Founder-led small studio","Competition imagery, exteriors/interiors, animation and 360","your founder-led studio covers competition images, exteriors, interiors, animation and 360 work, so I would like to offer myself as flexible support on the more production-intensive stages","https://www.inextenso.studio/","ndezes@inextenso.studio","","High","https://www.inextenso.studio/","3ds Max / archviz production support for In Extenso Studio","Hi Nicolas,

I’m [name], a 3D visualization artist working with architectural exteriors, interiors and 3ds Max-based scenes. Rather than sending a generic application, I’m writing because your founder-led studio covers competition images, exteriors, interiors, animation and 360 work, so I would like to offer myself as flexible support on the more production-intensive stages.

I’m not asking you to commit to a full role. I’d prefer to prove fit through a small real production task related to competition imagery, exteriors/interiors, animation and 360, with clear inputs, deadline and review criteria.

If you ever have overflow work you would rather delegate than turn down or rush, I’d be happy to do a small test first so you can judge whether my files, communication and visual quality fit your workflow. Portfolio: [portfolio]. Even a single bounded scene or image would be enough to start.

Thank you for your time,
[name]"
"85","B","Jonas Bloch","Europe","Germany","Munich","Independent visualizer / photographer","Architectural visualization and photography","you work independently across architectural visualization and photography, so I am contacting you as another production resource you could call on when a visualization deadline exceeds your available bandwidth","https://jonasbloch.de/","mail@jonasbloch.de","","High","https://jonasbloch.de/","3D visualization support for Jonas Bloch","Hi Jonas,

My name is [name], and I’m building relationships with studios and independent artists whose work I could support when deadlines or project volume increase. I chose to write to Jonas Bloch because you work independently across architectural visualization and photography, so I am contacting you as another production resource you could call on when a visualization deadline exceeds your available bandwidth.

I can start with a narrow assignment—such as preparing an exterior/interior scene, matching a reference, refining materials/lighting, or taking a render through revisions—so you can judge quality and reliability directly.

If you ever have overflow work you would rather delegate than turn down or rush, I’d be happy to do a small test first so you can judge whether my files, communication and visual quality fit your workflow. Portfolio: [portfolio]. Even a single bounded scene or image would be enough to start.

Best,
[name]"
"86","B","Imperfct*","Europe","Italy","Rome","Small studio (1–10)","Architecture/product visualization using 3ds Max, Corona/V-Ray and Rhino","your studio publicly lists a workflow including 3ds Max, Corona/V-Ray, Rhino and Photoshop, so the software overlap should make a practical test straightforward","https://imperfct.com/","office@imperfct.com","","High","https://imperfct.com/","Portfolio + a small trial task for Imperfct*","Hi Imperfct* team,

I’m [name], a 3D artist focused on architectural visualization, especially exterior/interior imagery and 3ds Max-based workflows. I’m reaching out because your studio publicly lists a workflow including 3ds Max, Corona/V-Ray, Rhino and Photoshop, so the software overlap should make a practical test straightforward.

If you ever need extra capacity, I can take on a self-contained part of a architecture/product visualization using 3ds max, corona/v-ray and rhino project and work to your references, naming conventions and feedback process.

I’d be happy to complete a small trial task first so there is no need to make a hiring decision upfront. My portfolio is [portfolio]. If you have a scene, image or production task that could be delegated, I’d be glad to take it on and work to your feedback.

Best regards,
[name]"
"87","B","indievisual","Europe","Switzerland","Zurich","Small studio (1–10)","Architectural visualization for architecture practices","your compact Zurich studio works closely with architecture clients, and I would be interested in helping on well-defined visualization tasks while you retain creative direction","https://www.indievisual.ch/","mail@indievisual.ch","","High","https://www.indievisual.ch/","Freelance archviz support — indievisual","Hi indievisual team,

My name is [name]. I work in architectural visualization with a focus on exterior and interior scenes and 3ds Max production. I wanted to contact you specifically because your compact Zurich studio works closely with architecture clients, and I would be interested in helping on well-defined visualization tasks while you retain creative direction.

My goal is to become the kind of external artist you can delegate a specific scene or image to when your internal team is busy, while keeping your creative direction and workflow intact.

I’d be happy to complete a small trial task first so there is no need to make a hiring decision upfront. My portfolio is [portfolio]. If you have a scene, image or production task that could be delegated, I’d be glad to take it on and work to your feedback.

Thanks for taking a look,
[name]"
"88","B","jformento","Europe","UK","London","Small CGI/motion studio (1–10)","CGI, 3D and motion design","your work sits between CGI, 3D and motion design, and I would be interested in taking on architectural or environment-oriented 3D tasks when you need extra hands","https://jformento.com/","hello@jformento.com","","High","https://jformento.com/","Could I help with overflow 3D work at jformento?","Hi jformento team,

I’m [name], and I’m looking to contribute to strong architectural visualization teams on a project or trial basis. jformento stood out to me because your work sits between CGI, 3D and motion design, and I would be interested in taking on architectural or environment-oriented 3D tasks when you need extra hands.

I’d be glad to help with a clearly defined part of your cgi, 3d and motion design pipeline—modeling, scene setup, materials, lighting, camera work, rendering or revisions—depending on what is most useful to you.

I’d be happy to complete a small trial task first so there is no need to make a hiring decision upfront. My portfolio is [portfolio]. If you have a scene, image or production task that could be delegated, I’d be glad to take it on and work to your feedback.

Thanks — I’d be glad to hear what would be most useful to test.
[name]"
"89","B","andruk.studio","Europe","Poland","Warsaw","Independent 3D artist / studio","Architectural visualization with 3ds Max, Corona, Photoshop and Forest Pack","your public portfolio identifies 3ds Max, Corona, Photoshop and Forest Pack as core tools and shows that you take freelance work, so I am reaching out as potential peer-to-peer overflow support","https://andruk.studio/","andrukstudio@gmail.com","","High","https://andruk.studio/","Architectural visualization collaboration with andruk.studio","Hi Jakub,

I’m [name], a 3D visualization artist working with architectural exteriors, interiors and 3ds Max-based scenes. Rather than sending a generic application, I’m writing because your public portfolio identifies 3ds Max, Corona, Photoshop and Forest Pack as core tools and shows that you take freelance work, so I am reaching out as potential peer-to-peer overflow support.

I’m not asking you to commit to a full role. I’d prefer to prove fit through a small real production task related to architectural visualization with 3ds max, corona, photoshop and forest pack, with clear inputs, deadline and review criteria.

If you ever have overflow work you would rather delegate than turn down or rush, I’d be happy to do a small test first so you can judge whether my files, communication and visual quality fit your workflow. Portfolio: [portfolio]. Even a single bounded scene or image would be enough to start.

Thank you for your time,
[name]"
"90","B","Animotions","Europe","Belgium","Ghent","Studio (10–20)","Architectural visualization of unbuilt architecture","your positioning around visualizing unbuilt architecture is directly aligned with my focus on exterior/interior architectural CGI, so a small test scene could quickly show fit","https://www.animotions.be/","info@animotions.be","","High","https://www.animotions.be/","3ds Max / archviz production support for Animotions","Hi Animotions team,

My name is [name], and I’m building relationships with studios and independent artists whose work I could support when deadlines or project volume increase. I chose to write to Animotions because your positioning around visualizing unbuilt architecture is directly aligned with my focus on exterior/interior architectural CGI, so a small test scene could quickly show fit.

I can start with a narrow assignment—such as preparing an exterior/interior scene, matching a reference, refining materials/lighting, or taking a render through revisions—so you can judge quality and reliability directly.

I’d be happy to begin with one small trial or overflow assignment so you can assess my speed, scene organization, responsiveness to feedback and final visual quality before considering anything larger. You can see my work at [portfolio]. If there is a suitable task, I’d be grateful for the chance to try it.

Best,
[name]"
